seconds,data
0.0,-64.0338134765625
0.1,-64.75341796875
0.217,-63.4735107421875
0.303,-61.270751953125
0.429,-65.1544189453125
0.489,-66.3299560546875
0.622,-67.7032470703125
0.7,-66.368408203125
0.816,-60.0018310546875
0.917,-61.6058349609375
1.047,-65.775146484375
1.096,-67.0989990234375
1.219,-67.752685546875
1.304,-67.74169921875
1.424,-64.3634033203125
1.52,-63.08349609375
1.634,-64.2425537109375
1.733,-64.4512939453125
1.837,-63.0615234375
1.905,-61.358642578125
2.025,-62.05078125
2.113,-60.5401611328125
2.236,-58.875732421875
2.32,-61.2213134765625
2.446,-64.7808837890625
2.503,-62.962646484375
2.628,-63.599853515625
2.711,-64.7149658203125
2.839,-65.19287109375
2.92,-64.22607421875
3.036,-63.094482421875
3.109,-63.841552734375
3.264,-64.720458984375
3.314,-64.2645263671875
3.438,-65.137939453125
3.526,-65.2587890625
3.648,-64.368896484375
3.735,-65.423583984375
3.857,-63.8580322265625
3.911,-62.742919921875
4.039,-64.9456787109375
4.126,-62.60009765625
4.243,-63.424072265625
4.331,-64.237060546875
4.459,-64.676513671875
4.511,-64.16015625
4.667,-64.676513671875
4.714,-65.4345703125
4.842,-64.5501708984375
4.927,-63.91845703125
5.051,-64.7314453125
5.132,-64.57763671875
5.262,-63.2208251953125
5.32,-63.709716796875
5.443,-63.21533203125
5.536,-64.962158203125
5.655,-62.8582763671875
5.742,-63.753662109375
5.858,-62.611083984375
5.919,-61.69921875
6.064,-61.41357421875
6.127,-62.567138671875
6.255,-61.204833984375
6.341,-61.5289306640625
6.464,-63.446044921875
6.553,-63.753662109375
6.673,-63.599853515625
6.738,-61.336669921875
6.847,-62.369384765625
6.935,-61.5179443359375
7.05,-63.665771484375
7.151,-63.25927734375
7.266,-64.610595703125
7.328,-67.2637939453125
7.476,-67.9888916015625
7.547,-68.192138671875
7.661,-67.2308349609375
7.752,-69.93896484375
7.864,-70.927734375
7.957,-67.4835205078125
8.085,-69.202880859375
8.145,-69.796142578125
8.264,-71.7132568359375
8.351,-70.2081298828125
8.467,-72.00439453125
8.572,-71.1309814453125
8.683,-72.388916015625
8.745,-69.9554443359375
8.89,-69.7412109375
8.956,-70.477294921875
9.083,-68.4283447265625
9.162,-69.32373046875
9.29,-67.4945068359375
9.373,-68.060302734375
9.484,-67.6043701171875
9.564,-65.91796875
9.673,-67.1649169921875
9.771,-68.13720703125
9.887,-67.96142578125
9.976,-68.1317138671875
10.099,-67.1484375
10.151,-68.291015625
10.278,-70.751953125
10.367,-69.7576904296875
10.489,-69.8345947265625
10.578,-72.2625732421875
10.701,-73.6907958984375
