seconds,data
0.0,0.40275
0.041,0.389
0.079,0.3954999999999999
0.128,0.3755
0.162,0.3824999999999999
0.208,0.3647499999999999
0.246,0.37875
0.279,0.37725
0.324,0.397
0.376,0.3744999999999999
0.399,0.35075
0.447,0.3460000000000001
0.502,0.3969999999999999
0.517,0.388
0.566,0.3622499999999999
0.602,0.3462499999999999
0.644,0.35225
0.679,0.367
0.729,0.3957499999999999
0.768,0.3702499999999999
0.802,0.3209999999999999
0.853,0.3682499999999999
0.882,0.35275
0.927,0.3484999999999999
0.97,0.3484999999999999
1.006,0.3454999999999999
1.041,0.358
1.095,0.3385
1.129,0.3667499999999999
1.159,0.3265
1.201,0.3495
1.254,0.3432499999999999
1.285,0.32475
1.32,0.3285
1.369,0.3289999999999999
1.399,0.3525
1.447,0.3542499999999999
1.483,0.3365
1.521,0.3349999999999999
1.572,0.3465
1.601,0.3545
1.644,0.34125
1.695,0.34275
1.717,0.32225
1.73,0.328
1.761,0.3445
1.823,0.3309999999999999
1.84,0.3434999999999999
1.885,0.3452499999999999
1.919,0.32625
1.978,0.3275
2.001,0.32075
2.046,0.3484999999999999
2.081,0.3299999999999999
2.119,0.32175
2.173,0.32275
2.203,0.34525
2.244,0.35075
2.284,0.3897499999999999
2.324,0.33075
2.364,0.3369999999999999
2.424,0.3675
2.44,0.3885
2.481,0.39575
2.541,0.35175
2.561,0.3524999999999999
2.604,0.392
2.642,0.3734999999999999
2.691,0.39125
2.722,0.3769999999999999
2.762,0.371
2.806,0.3495
2.838,0.38625
2.894,0.3984999999999999
2.926,0.3965000000000001
2.964,0.4039999999999999
3.006,0.397
3.048,0.3974999999999999
3.086,0.3959999999999999
3.143,0.37675
3.158,0.381
3.209,0.3867499999999999
3.243,0.3974999999999999
3.286,0.37975
3.329,0.3774999999999999
3.36,0.3815
3.407,0.3865
3.44,0.376
3.481,0.3892500000000001
3.531,0.3679999999999999
3.56,0.3897499999999999
3.601,0.3927499999999999
3.641,0.39625
3.68,0.3714999999999999
3.735,0.3665
3.762,0.3514999999999999
3.805,0.385
3.858,0.37675
3.878,0.38025
3.937,0.395
3.967,0.362
4.0,0.3769999999999999
4.042,0.3899999999999999
4.08,0.3644999999999999
4.129,0.3430000000000001
4.161,0.3609999999999999
4.203,0.4049999999999999
4.241,0.353
4.28,0.3922500000000001
4.332,0.39125
4.362,0.385
4.406,0.3765
4.458,0.38675
4.479,0.39625
4.526,0.39725
4.581,0.4037499999999999
4.618,0.402
4.638,0.4019999999999999
4.685,0.3855
4.73,0.38225
4.763,0.38625
4.808,0.37775
4.848,0.4029999999999999
4.882,0.3675
4.931,0.4105000000000001
4.967,0.3825
5.004,0.37775
5.043,0.3667499999999999
5.081,0.3672499999999999
5.122,0.37475
5.18,0.36775
5.2,0.39275
5.247,0.3819999999999999
5.28,0.38525
5.328,0.3744999999999999
5.367,0.37275
5.402,0.37525
5.446,0.3712499999999999
5.479,0.37
5.523,0.3679999999999999
5.573,0.38125
5.601,0.37375
5.65,0.38625
5.684,0.3692500000000001
5.724,0.38425
5.777,0.38875
5.8,0.3784999999999999
5.846,0.3822500000000001
5.902,0.383
5.918,0.3675
5.966,0.401
6.002,0.396
6.042,0.3704999999999999
6.085,0.3764999999999999
6.119,0.3745
6.162,0.3884999999999999
6.2,0.3877499999999999
6.246,0.3919999999999999
6.282,0.3767499999999999
6.326,0.38425
6.371,0.3732500000000001
6.401,0.38575
6.438,0.38025
6.497,0.3854999999999999
6.517,0.37475
6.564,0.3967499999999999
6.613,0.367
6.639,0.3792500000000001
6.686,0.3842500000000001
6.717,0.3365000000000001
6.758,0.3254999999999999
6.804,0.3750000000000001
6.84,0.39025
6.89,0.38325
6.919,0.349
6.961,0.34925
7.006,0.3782500000000001
7.041,0.3937499999999999
7.081,0.38925
7.128,0.368
7.165,0.3907499999999999
7.216,0.3492499999999999
7.239,0.39025
7.288,0.39475
7.319,0.3779999999999999
7.335,0.38225
7.358,0.3732499999999999
7.413,0.35175
7.442,0.3495000000000001
7.479,0.3957499999999999
7.535,0.3942500000000001
7.563,0.38825
7.605,0.36975
7.639,0.3699999999999999
7.692,0.37375
7.72,0.3715
7.765,0.351
7.826,0.37075
7.843,0.36775
7.886,0.39025
7.939,0.3742499999999999
7.958,0.3722499999999999
8.014,0.394
8.059,0.3937499999999999
8.08,0.395
8.123,0.3734999999999999
8.162,0.3944999999999999
8.213,0.3984999999999999
8.246,0.401
8.28,0.39725
8.324,0.40025
8.371,0.367
8.405,0.4115
8.445,0.3734999999999999
8.492,0.3797499999999999
8.54,0.4014999999999999
8.56,0.3889999999999999
8.601,0.3662499999999998
8.659,0.3732499999999999
8.682,0.3799999999999999
8.722,0.3802499999999998
8.759,0.3825
8.812,0.3672499999999999
8.841,0.3804999999999999
8.879,0.38
8.929,0.36775
8.96,0.3814999999999999
9.008,0.3757499999999999
9.052,0.3834999999999999
9.081,0.3784999999999999
9.13,0.39325
9.168,0.3769999999999999
9.201,0.374
9.259,0.3732499999999999
9.281,0.39825
9.321,0.4427500000000001
9.362,0.39875
9.406,0.40575
9.45,0.37975
9.481,0.419
9.521,0.42225
9.558,0.3944999999999999
9.616,0.3844999999999999
9.638,0.373
9.68,0.3804999999999999
9.727,0.3955000000000001
9.765,0.399
9.804,0.4289999999999999
9.865,0.39625
9.883,0.4169999999999999
9.932,0.3814999999999999
9.969,0.4087499999999999
10.0,0.3897499999999999
10.042,0.4065
10.082,0.376
10.133,0.3865
10.165,0.3987499999999999
10.198,0.41725
10.246,0.4055000000000001
10.281,0.35325
10.327,0.3615
10.364,0.42525
10.4,0.3884999999999999
10.449,0.35775
10.482,0.356
10.519,0.3799999999999999
10.585,0.37175
10.603,0.38525
10.646,0.3769999999999999
10.699,0.3774999999999999
10.722,0.3732499999999999
10.764,0.392
10.798,0.3814999999999999
10.85,0.395
10.88,0.3642500000000001
10.923,0.369
10.965,0.3887499999999999
10.999,0.3989999999999999
11.041,0.3824999999999999
11.089,0.3827499999999999
11.119,0.417
11.171,0.3742499999999999
11.203,0.391
11.244,0.37
11.288,0.4194999999999999
11.319,0.4135
11.369,0.3874999999999999
11.401,0.3814999999999999
11.442,0.4044999999999999
11.494,0.3957499999999999
11.527,0.3772499999999998
11.562,0.3947499999999999
11.599,0.3979999999999999
11.651,0.3754999999999999
11.684,0.3824999999999999
11.719,0.3944999999999999
11.778,0.399
11.808,0.3817499999999999
11.839,0.381
11.906,0.3754999999999999
11.921,0.4067499999999999
11.966,0.4014999999999999
12.024,0.445
12.053,0.4195000000000001
12.08,0.4065
12.12,0.375
12.171,0.42125
12.207,0.4425
12.243,0.43825
12.28,0.4017499999999999
12.319,0.39525
12.375,0.4207499999999999
12.411,0.39675
12.444,0.4167499999999999
12.485,0.3745
12.521,0.3977499999999999
12.567,0.39525
12.619,0.41725
12.64,0.41575
12.678,0.4125000000000001
12.732,0.4185
12.76,0.389
12.808,0.37625
12.838,0.4069999999999999
12.887,0.3987499999999999
12.922,0.431
12.935,0.38025
12.962,0.39725
13.009,0.41325
13.052,0.402
13.083,0.3712499999999999
13.12,0.3829999999999999
13.163,0.3834999999999999
13.21,0.3732500000000001
13.243,0.38825
13.286,0.38125
13.343,0.3702499999999999
13.362,0.382
13.409,0.37975
13.442,0.38225
13.492,0.36375
13.524,0.38225
13.558,0.3809999999999999
13.617,0.37475
13.649,0.3937499999999999
13.679,0.38725
13.731,0.3929999999999999
13.759,0.3854999999999999
13.81,0.3734999999999999
13.845,0.36675
13.881,0.398
13.934,0.403
13.959,0.3737499999999999
14.012,0.37625
14.055,0.398
14.078,0.3632499999999999
14.128,0.39225
14.162,0.3657499999999999
14.201,0.3642499999999999
14.254,0.3755
14.285,0.3727499999999999
14.318,0.36975
14.358,0.38025
14.402,0.36675
14.443,0.3757499999999999
14.489,0.3854999999999999
14.53,0.3642499999999999
14.563,0.3679999999999999
14.604,0.3857499999999999
14.661,0.38425
14.683,0.3942499999999999
14.72,0.39625
14.779,0.39275
14.802,0.3784999999999999
14.846,0.3692499999999999
14.879,0.3812499999999998
14.924,0.3994999999999998
14.958,0.38075
15.013,0.38675
15.045,0.3715
15.082,0.37075
15.122,0.3807499999999999
15.164,0.37825
15.206,0.3787499999999999
15.253,0.384
15.284,0.3914999999999999
15.32,0.37925
15.382,0.3847499999999999
15.405,0.3844999999999999
15.451,0.38325
15.483,0.4057499999999999
15.525,0.39875
15.566,0.377
15.602,0.391
15.642,0.3824999999999999
15.68,0.3844999999999999
15.731,0.40125
